country,artist,total_streams,chart_appearances,avg_position,rank
ad,Maluma,103079.0,72,15.68,1
ad,Bad Bunny,101475.0,62,21.44,2
ad,Justin Bieber,93783.0,117,6.67,3
ad,Camilo,84600.0,69,24.29,4
ad,Ed Sheeran,73377.0,41,4.88,5
ae,The Weeknd,21364094.0,1538,85.12,1
ae,Ed Sheeran,12207080.0,1146,105.06,2
ae,Justin Bieber,12004345.0,1047,78.32,3
ae,Dua Lipa,10191932.0,864,75.07,4
ae,Olivia Rodrigo,9891226.0,445,65.89,5
ar,Bad Bunny,1146405995.0,3994,81.9,1
ar,Ozuna,725780288.0,3397,78.68,2
ar,J Balvin,718957345.0,3313,73.67,3
ar,Duki,694094836.0,2454,84.07,4
ar,Maria Becerra,670355414.0,1446,71.12,5
at,RAF Camora,96893010.0,3115,95.84,1
at,Capital Bra,82496080.0,2053,89.5,2
at,Bonez MC,66792756.0,2449,97.52,3
at,Ed Sheeran,58822132.0,1503,83.27,4
at,Apache 207,51819900.0,722,83.42,5
au,Ed Sheeran,790126643.0,2960,100.51,1
au,Post Malone,624640864.0,1774,80.56,2
au,Drake,573575281.0,2485,98.23,3
au,The Weeknd,518022293.0,1892,87.91,4
au,Justin Bieber,492210523.0,1797,74.35,5
be,Ed Sheeran,128513593.0,2206,92.78,1
be,The Weeknd,94236907.0,1339,80.22,2
be,Dua Lipa,86529868.0,1260,78.45,3
be,Billie Eilish,82858552.0,1027,94.36,4
be,Justin Bieber,74325408.0,1339,73.82,5
bg,The Weeknd,18925414.0,3281,90.26,1
bg,Travis Scott,10490608.0,1943,91.04,2
bg,Drake,9763040.0,2255,84.44,3
bg,Ariana Grande,8714102.0,1504,82.31,4
bg,Galena,8646738.0,1020,80.83,5
bo,Bad Bunny,151153504.0,5969,83.17,1
bo,J Balvin,58984437.0,4282,76.34,2
bo,Maluma,58673213.0,3450,85.49,3
bo,KAROL G,45190615.0,1725,83.85,4
bo,Rauw Alejandro,44585652.0,2036,85.55,5
br,Marília Mendonça,3455696417.0,3606,84.97,1
br,Henrique & Juliano,2698494662.0,3146,96.89,2
br,Jorge & Mateus,2501812905.0,2903,86.84,3
br,Gusttavo Lima,2378899542.0,1898,87.14,4
br,Zé Neto & Cristiano,2248585935.0,1881,85.91,5
by,INSTASAMKA,3271725.0,45,9.96,1
by,LOVV66,2018306.0,61,44.31,2
by,Max Korzh,1890261.0,123,125.82,3
by,ANNA ASTI,1260018.0,83,94.99,4
by,ПОЛМАТЕРИ,1239572.0,63,110.44,5
ca,Drake,1108868675.0,4670,90.68,1
ca,The Weeknd,663205306.0,2543,87.65,2
ca,Post Malone,658176084.0,2112,85.2,3
ca,Ed Sheeran,485996487.0,1923,97.79,4
ca,Justin Bieber,450323889.0,1735,70.02,5
ch,Ed Sheeran,111400593.0,2204,92.39,1
ch,The Weeknd,75953990.0,1463,82.54,2
ch,Drake,66525290.0,1604,90.14,3
ch,Capital Bra,66190544.0,1315,90.14,4
