country,total_streams,chart_records,avg_position
us,207986922619,89956,98.47
br,78292131080,87484,100.94
mx,71602036312,89578,98.64
de,58332222781,89594,98.08
gb,54841347015,89335,98.31
es,42079607625,89354,98.4
it,36122894255,89416,97.74
fr,34031069908,89427,98.19
ph,29166220105,87139,99.96
ar,28286042660,88353,99.79
au,27895482116,89362,98.18
nl,27799142515,89095,97.92
ca,26549071394,86805,101.92
se,26096207307,89996,98.09
cl,24995962027,87868,99.39
id,24548533118,70250,100.41
in,20758399583,39826,100.54
tr,20716487843,88855,99.55
no,15124239083,89580,97.9
jp,14873818931,55772,100.25
pl,14215597857,90361,99.11
dk,11495742569,89185,97.86
pe,11145139357,86957,99.32
co,10057459765,87682,99.49
fi,8534805224,89321,98.12
my,6028119517,88786,97.37
nz,5957062162,89165,98.04
be,5844733238,89482,98.59
sg,5783044861,89208,98.24
ie,5663437770,89247,97.89
th,5024190410,55834,100.17
tw,4981073850,89063,100.55
ch,4916736498,90104,99.0
pt,4369520860,89361,98.22
ec,4159215282,85447,97.9
at,3812402785,87799,96.56
gt,3242712254,83801,98.03
cr,3207853450,85922,98.04
py,3084355573,81696,98.18
ru,2891548766,18053,100.57
cz,2770665510,85413,97.74
hk,2665425021,87242,96.33
gr,2585965094,85578,97.52
vn,2476285962,50010,99.93
hu,2123064768,85347,97.85
uy,1963373893,83772,98.27
il,1819528722,50117,100.38
bo,1771646959,80697,97.72
do,1747323083,84020,98.1
sv,1591882535,82628,98.24
pa,1583527218,83163,98.17
hn,1302672528,82614,98.19
za,1258807277,36594,100.29
ro,1212066296,50772,100.68
sk,1069130459,83371,97.36
ua,926534554,25549,100.28
sa,833790602,35750,100.72
is,779980911,85567,96.74
ma,771134677,36736,100.22
eg,714320885,36591,100.19
lt,706184587,86040,96.77
lv,634606250,86136,97.05
ni,633192634,77424,97.9
ee,576941301,86224,96.75
ae,518686991,36002,100.3
bg,517568222,80382,95.75
kr,510366730,19693,100.03
ng,442773954,8619,96.78
lu,321481811,72056,93.88
cy,214450206,58917,87.79
mt,210656612,51987,91.8
pk,122505099,3136,94.31
kz,94932558,3421,91.84
ve,56620018,1321,94.92
by,33214301,1503,106.86
ad,2630103,1648,17.62
