genre,total_streams,chart_appearances,avg_position,rank
pop,222724484792.33044,2190394,93.06,1
dance pop,86195379976.99527,1463799,92.0,2
rap,64221235124.2513,654495,97.73,3
trap latino,55832355640.35915,725245,89.0,4
reggaeton,52075872893.138115,712017,89.31,5
uk pop,48172103880.59236,703753,92.9,6
canadian pop,32436075066.3759,314703,88.12,7
melodic rap,26950359810.61572,200444,97.04,8
hip hop,26928957571.660305,383643,100.47,9
trap,24125182797.22947,297849,98.21,10
pop rap,23949764418.68131,507866,93.95,11
post-teen pop,23079619904.15557,524146,91.73,12
edm,23018487593.553844,699259,89.71,13
reggaeton colombiano,19393733172.44547,287961,87.57,14
pop dance,18399431985.484867,575665,90.86,15
electropop,17941036269.536667,342341,94.2,16
latin hip hop,16996063824.63388,346479,93.47,17
tropical house,16572176700.938803,511591,92.07,18
german hip hop,15087109417.866251,63039,99.32,19
latin pop,14867717322.870916,322026,101.19,20
modern rock,14762189911.749222,145010,102.01,21
arrocha,13607069018.68483,34202,91.82,22
rock,12813075108.656706,153195,114.97,23
reggaeton flow,12211493807.588371,234927,92.57,24
canadian contemporary r&b,11876360284.785883,111114,90.42,25
chicago rap,11054960304.108162,64364,106.94,26
r&b,10905988551.79651,156947,98.09,27
atl hip hop,10800803358.688913,133891,98.56,28
k-pop,10610743827.749567,84743,102.6,29
puerto rican pop,10557426390.614311,143156,88.46,30
electro house,10026948981.050901,294947,91.44,31
art pop,9247576395.812265,88931,95.83,32
miami hip hop,8929630276.74561,79333,98.64,33
southern hip hop,8765896913.166136,180666,98.55,34
colombian pop,8638906835.424688,164890,96.18,35
canadian hip hop,8441447826.6745205,99290,91.45,36
emo rap,8230181469.091439,48940,110.21,37
viral pop,8138054604.504466,90064,94.25,38
slap house,8062992844.9006,77922,98.84,39
italian pop,7905288156.003888,36320,92.06,40
dfw rap,7859686478.911863,53919,91.44,41
funk carioca,7783434827.513071,38956,93.81,42
toronto rap,7509895360.198807,94285,91.62,43
sertanejo universitario,7222613101.974377,24437,94.17,44
australian pop,7118888474.532878,101278,93.42,45
sertanejo,6603518909.780723,21622,94.24,46
italian hip hop,6511774288.404139,30964,100.16,47
